Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Standard,170601_Poo_Vesicles_Full1,Heavy Isoleucine,7.64,17862922,12804,643298,1.7,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full2,Heavy Isoleucine,7.59,17652470,0,644562,1.6,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full3,Heavy Isoleucine,7.57,17223832,0,629475,1.2,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half1,Heavy Isoleucine,7.65,6695854,0,254796,1.6,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half2,Heavy Isoleucine,7.57,8518799,0,326361,1.9,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half3,Heavy Isoleucine,7.62,9049902,0,354539,1.7,Internal Standard
Internal Standard,170601_Smp_Pro9312_A,Heavy Isoleucine,7.64,19866710,84745,801644,0.8,Internal Standard
Internal Standard,170601_Smp_Pro9312_B,Heavy Isoleucine,7.7,18287736,224663,758248,1.3,Internal Standard
Internal Standard,170601_Smp_Pro9312_C,Heavy Isoleucine,7.72,18040920,0,692684,1.2,Internal Standard
Internal Standard,170601_Smp_Pro9313_A,Heavy Isoleucine,7.62,13097364,0,528501,1.7,Internal Standard
Internal Standard,170601_Smp_Pro9313_B,Heavy Isoleucine,7.6,12312828,0,638797,1.4,Internal Standard
Internal Standard,170601_Smp_Pro9313_C,Heavy Isoleucine,7.57,15084410,0,607748,1.8,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_1,Heavy Isoleucine,7.61,16786382,0,604390,1.8,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_2,Heavy Isoleucine,7.61,15451151,737742,613052,1.8,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_3,Heavy Isoleucine,7.61,17707692,0,650167,1.1,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_1,Heavy Isoleucine,7.59,16701393,0,611962,1.4,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_2,Heavy Isoleucine,7.59,15601940,0,593016,1.3,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_3,Heavy Isoleucine,7.65,15042276,0,595718,1.9,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_1,Heavy Isoleucine,7.85,4970608,0,215169,2.9,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_2,Heavy Isoleucine,7.62,4960483,0,223417,2.2,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_3,Heavy Isoleucine,7.54,5801098,0,204990,2.1,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_1,Heavy Isoleucine,7.57,19577050,0,1404073,1.2,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_2,Heavy Isoleucine,7.64,18650978,27589,1053423,1.5,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_3,Heavy Isoleucine,7.36,11322047,14332,781128,1,Internal Standard
Internal Standard,170601_Blk_1a,Heavy Methionine,7.08,27176454,3900312,474987,0,Internal Standard
Internal Standard,170601_Blk_1b,Heavy Methionine,6.15,22255798,7660189,417255,0,Internal Standard
Internal Standard,170601_Blk_1c,Heavy Methionine,7.03,24368970,7564027,404463,-0.1,Internal Standard
Internal Standard,170601_Blk_2a,Heavy Methionine,6.66,21448194,16977698,388248,-0.4,Internal Standard
Internal Standard,170601_Blk_2b,Heavy Methionine,6.77,9358346,11183753,237246,-0.3,Internal Standard
Internal Standard,170601_Blk_2c,Heavy Methionine,6.71,5062997,10909356,287197,-0.3,Internal Standard
Internal Standard,170601_Poo_Pro_Full1,Heavy Methionine,7.51,64223760,0,1620353,0.2,Internal Standard
Internal Standard,170601_Poo_Pro_Full2,Heavy Methionine,7.46,60158636,2091745,1598158,-0.1,Internal Standard
Internal Standard,170601_Poo_Pro_Full3,Heavy Methionine,7.44,61281040,0,1781687,0.1,Internal Standard
Internal Standard,170601_Poo_Pro_Half1,Heavy Methionine,7.51,36031292,0,1071282,0,Internal Standard
Internal Standard,170601_Poo_Pro_Half2,Heavy Methionine,7.44,39763392,0,1071808,0.1,Internal Standard
Internal Standard,170601_Poo_Pro_Half3,Heavy Methionine,7.47,38605196,0,1045084,0,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full1,Heavy Methionine,7.41,30361586,13304204,548751,0.5,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full2,Heavy Methionine,7.43,21440726,16088669,486677,0.4,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full3,Heavy Methionine,7.19,31125082,4064724,547845,0.1,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half1,Heavy Methionine,7.07,16589220,16896926,377451,-0.1,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half2,Heavy Methionine,6.85,15939932,4528669,518164,0.3,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half3,Heavy Methionine,7.29,15948499,3751019,404332,0.1,Internal Standard
Internal Standard,170601_Smp_Pro9312_A,Heavy Methionine,7.64,70461744,4833883,1846394,-0.5,Internal Standard
Internal Standard,170601_Smp_Pro9312_B,Heavy Methionine,7.57,67379744,4974539,1618130,0,Internal Standard
Internal Standard,170601_Smp_Pro9312_C,Heavy Methionine,7.6,60955588,5393150,1507842,0,Internal Standard
Internal Standard,170601_Smp_Pro9313_A,Heavy Methionine,7.44,61782100,0,1505269,0.1,Internal Standard
Internal Standard,170601_Smp_Pro9313_B,Heavy Methionine,7.47,52339336,0,1377456,-0.3,Internal Standard
Internal Standard,170601_Smp_Pro9313_C,Heavy Methionine,7.47,52892936,11829110,1491197,0.2,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_1,Heavy Methionine,7.48,34003592,4974558,642612,0.5,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_2,Heavy Methionine,7.4,30784950,4189882,551357,0.4,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_3,Heavy Methionine,7.25,33926764,5211572,624244,-0.1,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_1,Heavy Methionine,7.2,17951082,13210252,431232,0.2,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_2,Heavy Methionine,7.51,27600702,13802783,588383,0,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_3,Heavy Methionine,6.98,27446900,8038001,554003,0.6,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_1,Heavy Methionine,7.33,21962880,6347028,732932,0.1,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_2,Heavy Methionine,7.31,23655198,1402574,1100080,-0.1,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_3,Heavy Methionine,7.24,30835506,5282937,1078791,-0.4,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_1,Heavy Methionine,7.32,64920132,5626411,2804948,0.2,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_2,Heavy Methionine,7.33,60832544,6243952,2516219,0.2,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_3,Heavy Methionine,7.12,34451748,4722954,1486074,0.5,Internal Standard
Internal Standard,170601_Blk_1a,Heavy Alanine,10.89,32371846,369901,4064568,5.8,Internal Standard
Internal Standard,170601_Blk_1b,Heavy Alanine,10.85,31488854,185581,3785150,5.7,Internal Standard
Internal Standard,170601_Blk_1c,Heavy Alanine,10.87,29415146,155083,3729645,5.9,Internal Standard
Internal Standard,170601_Blk_2a,Heavy Alanine,10.93,16177007,184104,1969669,5.9,Internal Standard
Internal Standard,170601_Blk_2b,Heavy Alanine,10.95,15757557,123556,1654393,6,Internal Standard
Internal Standard,170601_Blk_2c,Heavy Alanine,10.93,15261260,139234,1794186,6.1,Internal Standard
Internal Standard,170601_Poo_Pro_Full1,Heavy Alanine,10.86,30829994,212681,3361710,6.1,Internal Standard
Internal Standard,170601_Poo_Pro_Full2,Heavy Alanine,10.84,29838890,0,2944365,5.9,Internal Standard
Internal Standard,170601_Poo_Pro_Full3,Heavy Alanine,10.83,29576774,0,3065038,5.7,Internal Standard
Internal Standard,170601_Poo_Pro_Half1,Heavy Alanine,10.88,17128974,77929,1834286,6,Internal Standard
Internal Standard,170601_Poo_Pro_Half2,Heavy Alanine,10.83,15888159,133306,1653502,6.1,Internal Standard
Internal Standard,170601_Poo_Pro_Half3,Heavy Alanine,10.84,16073532,215998,1688961,5.8,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full1,Heavy Alanine,10.84,28931074,7218,3941964,6.2,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full2,Heavy Alanine,10.8,26420270,124382,3656860,5.9,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full3,Heavy Alanine,10.81,22969076,211418,3052439,5.9,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half1,Heavy Alanine,10.78,13840581,193259,1508496,5.6,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half2,Heavy Alanine,10.74,15353834,112063,1670662,6.1,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half3,Heavy Alanine,10.73,17092254,85179,1789892,6,Internal Standard
Internal Standard,170601_Smp_Pro9312_A,Heavy Alanine,10.86,35901456,153877,3821800,5.2,Internal Standard
Internal Standard,170601_Smp_Pro9312_B,Heavy Alanine,10.84,33350268,401704,3561132,6.2,Internal Standard
Internal Standard,170601_Smp_Pro9312_C,Heavy Alanine,10.86,30864862,153365,3191230,5.8,Internal Standard
Internal Standard,170601_Smp_Pro9313_A,Heavy Alanine,10.86,26438702,177085,2557947,5.9,Internal Standard
Internal Standard,170601_Smp_Pro9313_B,Heavy Alanine,10.86,25898226,76972,2680508,5.5,Internal Standard
Internal Standard,170601_Smp_Pro9313_C,Heavy Alanine,10.84,30764950,210304,3244978,6,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_1,Heavy Alanine,10.84,27648566,198320,3422397,6.1,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_2,Heavy Alanine,10.85,27100622,45159,3677449,5.9,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_3,Heavy Alanine,10.81,29116902,157262,4079344,5.9,Internal Standard
